date,avg_temp,min_temp,max_temp,rainfall,avg_wind_speed,max_wind_speed,avg_humidity,sunshine_hours,snow_depth,avg_cloud
2021-06-12,24.2,18.2,30.2,,1.8,3.9,74.6,9.1,,5.0
2021-06-13,24.8,20.9,29.7,,2.0,4.3,72.6,10.2,,3.5
2021-06-14,24.8,18.9,30.2,,2.1,4.0,68.8,8.3,,6.8
2021-06-15,22.5,21.5,25.3,1.9,2.3,3.9,79.1,1.6,,7.0
2021-06-16,24.3,20.3,28.9,,3.6,5.7,59.9,11.5,,2.5
2021-06-17,21.9,19.6,25.0,0.0,2.4,3.6,71.4,0.3,,9.4
2021-06-18,20.0,19.0,21.4,6.3,2.5,3.8,92.1,0.0,,9.8
2021-06-19,22.3,17.5,27.4,,1.8,3.7,74.0,10.5,,4.1
2021-06-20,22.9,17.6,29.0,,2.8,6.8,73.3,10.7,,3.1
2021-06-21,23.6,19.2,28.5,,2.2,4.6,67.0,11.1,,3.3
2021-06-22,22.8,19.7,28.6,0.0,2.1,7.8,67.9,6.8,,6.8
2021-06-23,22.4,18.8,27.9,7.5,2.4,6.0,70.5,7.2,,4.4
2021-06-24,23.0,18.5,28.0,,1.9,4.4,71.1,5.7,,3.0
2021-06-25,24.1,19.5,29.5,,2.0,4.7,69.0,9.7,,4.0
2021-06-26,22.8,19.9,26.7,4.5,1.8,3.4,78.5,2.3,,7.3
2021-06-27,24.5,19.8,30.8,38.2,2.0,7.8,72.1,8.1,,5.4
2021-06-28,23.7,21.0,29.2,0.1,1.9,4.1,76.4,2.2,,8.1
2021-06-29,23.9,21.3,28.4,8.0,1.8,4.1,78.6,4.2,,6.5
2021-06-30,24.3,21.0,28.8,6.0,1.3,3.6,77.9,4.0,,6.1
2021-07-01,26.3,21.4,31.0,,1.8,4.1,70.9,8.2,,2.3
2021-07-02,27.1,23.6,31.8,,2.3,3.5,64.1,7.4,,5.8
2021-07-03,22.6,19.6,25.7,60.0,3.6,5.9,80.0,0.9,,8.5
2021-07-04,21.4,19.8,23.1,21.4,2.3,4.9,96.8,0.0,,9.9
2021-07-05,23.3,20.1,26.9,,1.4,3.5,80.3,0.9,,8.9
2021-07-06,25.3,21.0,30.1,,1.6,3.7,73.4,4.3,,7.0
2021-07-07,26.4,23.9,29.1,12.7,1.5,3.3,78.5,1.1,,9.4
2021-07-08,26.0,23.8,29.8,2.9,2.0,4.7,81.6,2.9,,7.1
2021-07-09,25.5,23.6,29.2,0.0,1.9,4.2,77.3,3.8,,6.5
2021-07-10,25.9,23.1,29.2,0.5,2.4,5.4,80.4,4.2,,7.4
2021-07-11,25.7,24.1,27.5,0.4,2.2,4.8,86.8,0.1,,7.8
2021-07-12,28.1,23.8,32.5,,1.6,3.1,75.1,4.9,,6.6
2021-07-13,28.8,26.3,31.5,,1.7,3.7,76.1,1.4,,6.8
2021-07-14,29.7,26.1,33.5,,2.2,4.2,71.4,7.1,,7.0
2021-07-15,29.1,25.9,34.5,0.0,2.1,4.6,71.1,8.7,,5.1
2021-07-16,28.8,24.2,35.2,,2.2,7.4,68.4,10.5,,3.5
2021-07-17,29.1,24.7,32.8,0.0,2.3,4.2,63.1,8.9,,4.8
2021-07-18,29.6,25.7,34.1,,2.1,4.2,62.5,8.4,,5.6
2021-07-19,26.4,24.0,30.5,67.4,1.9,4.9,80.1,3.1,,6.9
2021-07-20,27.9,23.6,31.8,0.0,1.5,3.6,75.8,3.4,,7.6
2021-07-21,30.5,25.3,35.3,,1.7,3.0,64.0,11.3,,3.5
2021-07-22,31.2,26.5,35.9,,2.0,3.7,59.8,11.4,,4.0
2021-07-23,31.2,27.2,35.8,,1.8,3.6,61.8,12.4,,2.3
2021-07-24,31.7,26.9,36.5,,1.7,4.2,57.4,12.3,,3.0
2021-07-25,31.5,27.2,35.9,,2.0,4.4,55.8,13.0,,4.9
2021-07-26,31.2,27.4,35.4,,2.4,4.3,54.9,13.2,,1.6
2021-07-27,31.1,27.8,35.7,,2.1,4.6,60.5,7.3,,3.9
2021-07-28,30.4,27.1,34.7,0.0,1.9,4.9,67.4,6.5,,3.8
2021-07-29,29.6,27.0,33.3,,2.0,3.9,69.9,2.2,,6.8
2021-07-30,30.5,25.8,35.4,,2.1,4.1,63.1,7.7,,6.5
2021-07-31,29.8,26.8,34.3,3.0,2.5,4.3,69.9,7.7,,6.9
2021-08-01,27.1,25.1,28.8,21.0,1.3,4.7,81.8,0.0,,9.8
2021-08-02,26.5,25.0,28.6,1.7,1.6,3.4,82.6,0.6,,9.0
2021-08-03,28.0,24.1,31.4,0.0,1.8,5.5,76.9,4.3,,6.1
2021-08-04,28.9,26.3,33.2,,2.0,4.3,70.6,6.1,,5.9
2021-08-05,29.4,25.6,33.7,,2.1,4.1,68.1,8.9,,4.6
2021-08-06,28.1,26.0,32.2,,2.1,8.3,68.4,6.3,,7.4
2021-08-07,28.0,23.4,32.3,,2.1,4.0,65.0,11.3,,3.3
2021-08-08,26.8,24.4,32.1,12.7,1.7,4.3,74.8,2.0,,8.1
2021-08-09,28.3,23.3,33.6,,2.3,4.8,62.4,8.6,,5.6
2021-08-10,27.7,24.3,32.2,,2.3,4.4,62.5,8.5,,4.5
2021-08-11,27.4,24.1,31.6,0.0,2.0,3.9,70.3,5.3,,5.8
2021-08-12,26.8,24.0,31.7,0.0,1.8,4.6,67.1,4.4,,5.9
2021-08-13,26.6,23.4,30.1,,2.0,3.5,70.4,1.7,,8.0
2021-08-14,26.1,23.4,30.5,,3.0,4.8,63.9,4.5,,6.5
2021-08-15,26.9,21.7,32.4,,2.3,3.7,59.6,10.2,,1.8
2021-08-16,27.3,22.5,32.8,0.0,2.3,3.7,61.1,10.4,,3.8
2021-08-17,25.9,21.9,31.3,9.3,2.4,4.6,65.0,5.8,,5.5
2021-08-18,24.3,20.6,31.0,5.6,2.8,5.4,69.6,5.8,,5.3
2021-08-19,26.0,21.0,31.5,,2.6,4.0,57.1,8.6,,4.0
2021-08-20,26.6,22.6,30.7,0.0,2.3,5.1,63.6,5.5,,6.9
2021-08-21,23.8,21.0,25.5,62.8,2.7,6.7,88.1,1.0,,8.8
2021-08-22,24.4,22.4,27.0,0.0,2.1,4.4,81.5,0.7,,8.6
2021-08-23,22.4,21.0,24.0,7.4,2.0,3.3,89.3,0.0,,9.5
2021-08-24,23.4,21.1,26.4,10.5,2.9,6.1,93.6,0.0,,10.0
2021-08-25,25.0,23.5,27.3,0.3,1.8,3.8,85.5,0.7,,8.4
2021-08-26,25.5,22.9,27.9,0.7,2.5,5.0,84.9,0.2,,8.1
2021-08-27,22.4,20.4,25.5,0.9,1.3,3.2,83.5,0.0,,9.1
2021-08-28,23.6,19.7,28.2,,1.8,3.9,80.4,3.8,,8.4
2021-08-29,23.7,21.9,26.3,0.9,1.6,3.4,82.6,1.0,,8.6
2021-08-30,24.2,21.2,27.7,0.0,1.4,2.9,77.5,1.1,,8.3
2021-08-31,20.5,18.1,23.1,77.4,2.3,4.9,93.3,0.0,,9.9
2021-09-01,21.4,18.5,23.9,0.8,2.9,4.7,83.1,0.0,,9.3
2021-09-02,23.5,20.7,26.7,,2.1,3.4,70.3,1.4,,8.3
2021-09-03,24.3,20.6,29.2,,2.4,4.0,60.3,11.2,,1.9
2021-09-04,23.2,18.5,28.6,,2.7,3.7,57.0,9.3,,4.4
2021-09-05,23.1,19.4,27.3,,3.2,4.9,61.1,4.6,,5.8
2021-09-06,22.3,18.0,26.4,12.0,3.2,5.5,70.1,2.4,,8.9
2021-09-07,19.6,17.6,20.9,29.6,2.3,4.4,98.1,0.0,,10.0
2021-09-08,22.2,19.0,26.9,1.6,1.7,4.2,81.3,7.1,,4.5
2021-09-09,23.5,19.1,29.1,,1.5,3.0,76.5,8.0,,6.5
2021-09-10,23.6,19.5,28.9,,1.9,4.3,76.0,6.4,,3.9
2021-09-11,24.0,19.9,29.4,,1.7,5.6,73.1,8.7,,2.0
2021-09-12,24.2,19.2,29.8,,1.8,4.4,64.6,10.2,,1.9
2021-09-13,24.8,20.8,30.3,,2.4,3.9,67.1,6.1,,6.9
2021-09-14,24.6,20.0,29.5,,2.6,5.6,63.3,10.3,,2.4
2021-09-15,23.6,19.5,28.9,,3.6,5.9,57.5,11.4,,0.6
2021-09-16,22.9,18.0,27.3,,2.6,4.6,61.1,9.1,,5.1
2021-09-17,23.5,20.5,28.2,,3.0,5.8,61.4,6.6,,3.8
2021-09-18,23.9,18.9,29.8,,1.6,4.0,65.1,8.8,,2.3
2021-09-19,23.7,20.8,27.8,,1.9,3.0,62.9,2.8,,6.3
2021-09-20,23.7,19.0,28.4,,2.7,6.2,63.6,10.3,,5.9
2021-09-21,22.0,17.4,26.2,68.1,2.9,7.1,85.1,4.3,,8.0
2021-09-22,20.2,16.8,24.3,4.5,2.7,6.2,79.0,6.5,,4.1
2021-09-23,20.9,16.9,25.9,,2.4,6.5,67.3,8.0,,3.4
2021-09-24,21.8,16.7,26.9,,2.2,3.8,67.5,9.9,,1.5
2021-09-25,21.2,18.7,23.1,,2.3,3.5,72.6,0.0,,8.6
2021-09-26,22.6,18.4,27.3,,2.3,3.6,63.0,8.3,,6.8
2021-09-27,21.6,18.7,25.0,0.0,2.4,3.7,66.0,2.2,,8.3
2021-09-28,21.5,19.6,24.4,1.3,2.2,3.7,75.1,0.7,,9.8
2021-09-29,20.2,17.8,21.4,13.1,1.7,4.4,93.5,0.0,,7.6
2021-09-30,20.3,16.0,25.9,,1.5,3.3,83.9,7.4,,2.0
2021-10-01,21.1,16.9,27.5,13.3,2.4,10.6,75.8,9.3,,2.9
2021-10-02,20.7,16.4,26.6,,1.6,3.3,77.1,8.1,,4.0
2021-10-03,22.3,17.1,28.8,,1.9,4.5,69.5,8.4,,2.0
2021-10-04,22.9,19.2,25.6,3.6,2.9,6.1,81.0,0.0,,9.5
2021-10-05,23.6,21.7,26.5,0.0,3.3,6.2,82.4,1.5,,8.1
2021-10-06,18.8,17.9,21.7,6.4,2.8,4.3,91.5,1.2,,9.0
2021-10-07,19.4,17.9,21.9,4.6,1.9,4.0,85.5,0.0,,9.4
2021-10-08,18.8,17.5,20.0,3.5,1.7,2.9,91.3,0.0,,9.5
